card_id,rationale_id,domain,decision_point,type,prompt,answer,choices,source_ids
ABX-001-Q1,ABX-001,Antibiotics,When should antibiotics be used for endodontic pain or swelling?,short_answer,Why are antibiotics generally ineffective as the sole treatment for a necrotic infected root canal system?,"The necrotic pulp space lacks reliable blood supply, so antibiotics do not adequately reach or eliminate the intracanal source. Source control through debridement and/or drainage is required.",,S1; S2; S3; S9; S21; S35
ABX-001-Q2,ABX-001,Antibiotics,When should antibiotics be used for endodontic pain or swelling?,multiple_choice,Which scenario most clearly supports antibiotic use in an immunocompetent adult with an endodontic infection?,Localized abscess with fever and malaise,Lingering cold pain only; Asymptomatic apical radiolucency; Localized abscess with fever and malaise; Percussion sensitivity after new restoration,S1; S2; S3; S9; S21; S35
IRR-001-Q1,IRR-001,Irrigation,Why is sodium hypochlorite the primary root canal irrigant?,short_answer,What property makes sodium hypochlorite different from chlorhexidine as an endodontic irrigant?,NaOCl dissolves organic tissue; chlorhexidine does not dissolve vital or necrotic pulp tissue.,,S4; S9; S10; S26; S104; S105
IRR-001-Q2,IRR-001,Irrigation,Why is sodium hypochlorite the primary root canal irrigant?,multiple_choice,Which factor can compensate for using a lower NaOCl concentration by improving overall effect?,Refreshment/activation and adequate volume,Less volume; Shorter contact time; Refreshment/activation and adequate volume; Mixing directly with CHX,S4; S9; S10; S26; S104; S105
IRR-002-Q1,IRR-002,Irrigation,Why use EDTA in the final irrigation sequence?,short_answer,What does EDTA remove that NaOCl does not adequately remove?,The inorganic component of the smear layer.,,S4; S26
IRR-002-Q2,IRR-002,Irrigation,Why use EDTA in the final irrigation sequence?,multiple_choice,What is a major risk of prolonged EDTA exposure?,Excessive dentin demineralization/erosion,Increased tissue dissolution; Excessive dentin demineralization/erosion; Immediate C. difficile risk; Loss of anesthetic effect,S4; S26
IRR-003-Q1,IRR-003,Irrigation,When should irrigant activation be used?,short_answer,Why is irrigant activation considered an adjunct rather than a substitute for canal shaping and NaOCl/EDTA chemistry?,"Activation improves irrigant exchange and contact after shaping, but it does not replace mechanical preparation, tissue-dissolving chemistry, chelation, adequate volume, or safe delivery.",,S4; S10; S104; S125; S140; S160
IRR-003-Q2,IRR-003,Irrigation,When should irrigant activation be used?,multiple_choice,Which scenario best supports passive ultrasonic irrigation?,Prepared mature canal where a nonbinding tip can agitate final irrigant safely,Uninstrumented canal with no glide path; Prepared mature canal where a nonbinding tip can agitate final irrigant safely; Open apex with uncontrolled apical extrusion risk; Direct mixture of NaOCl and chlorhexidine,S4; S10; S104; S125; S140; S160
IRR-004-Q1,IRR-004,Irrigation,How should irrigation change for open apices or high extrusion risk?,short_answer,What is the main irrigation priority in an immature tooth with an open apex?,"Controlled disinfection while avoiding irrigant extrusion: low-pressure delivery, nonbinding needle placement short of the terminus, suction, and protocol-appropriate lower-concentration NaOCl.",,S4; S44; S104; S126
IRR-004-Q2,IRR-004,Irrigation,How should irrigation change for open apices or high extrusion risk?,multiple_choice,Which irrigation plan is most appropriate for a high extrusion-risk open apex?,Use gentle low-pressure irrigation with the needle short of the root end and consider negative pressure,Bind a needle at working length to force irrigant apically; Use gentle low-pressure irrigation with the needle short of the root end and consider negative pressure; Use aggressive powered activation at the apical foramen; Skip irrigation entirely because all irrigants are unsafe,S4; S44; S104; S126
IRR-005-Q1,IRR-005,Irrigation,How should a sodium hypochlorite accident be recognized and managed?,short_answer,Name four signs that should make you suspect a sodium hypochlorite extrusion accident during irrigation.,"Immediate severe pain or burning, sudden swelling, profuse canal bleeding, chlorine taste, ecchymosis/bruising, paresthesia, tissue blanching, or tissue necrosis.",,S4; S105
IRR-005-Q2,IRR-005,Irrigation,How should a sodium hypochlorite accident be recognized and managed?,multiple_choice,A patient develops sudden severe pain and facial swelling during NaOCl irrigation. What is the best immediate board-level response?,"Stop irrigation, assess severity and red flags, manage pain, document, and arrange urgent referral if swelling is progressive or high-risk","Continue irrigation until the canal is clean; Stop irrigation, assess severity and red flags, manage pain, document, and arrange urgent referral if swelling is progressive or high-risk; Obturate immediately to seal the canal; Assume this is normal postoperative soreness",S4; S105
IRR-006-Q1,IRR-006,Irrigation,How should warmed or replenished sodium hypochlorite be framed?,short_answer,Why is warmed NaOCl not a substitute for adequate irrigation volume and replenishment?,"Warming may increase chemical activity, but NaOCl is consumed as it reacts; effective disinfection still requires fresh irrigant exchange, contact time, canal preparation, safe delivery, and endpoint-specific evidence.",,S4; S104; S139; S161
IRR-006-Q2,IRR-006,Irrigation,How should warmed or replenished sodium hypochlorite be framed?,multiple_choice,Which statement is the safest board framing for warmed NaOCl?,"It is an optional chemistry optimization that still requires volume, contact time, and extrusion control","It guarantees better healing than room-temperature NaOCl; It is an optional chemistry optimization that still requires volume, contact time, and extrusion control; It removes the inorganic smear layer without EDTA; It is preferred when an open apex cannot confine irrigant",S4; S104; S139; S161
IRR-007-Q1,IRR-007,Irrigation,"How should laser-assisted irrigation, including PIPS or SWEEPS, be framed?",short_answer,Why should PIPS or SWEEPS not be presented as a universal replacement for conventional irrigation fundamentals?,"They are device-specific laser-assisted adjuncts; evidence and settings vary, and they do not replace shaping, NaOCl/EDTA chemistry, adequate volume, contact time, or extrusion control.",,S4; S104; S138; S151; S152
